"","participant","nLL","kernel","acq","R2","kError","lambda","beta","tau","alpha","d","k","omega","ModelName","meanScore"
"94",19,167.737814722817,"BMT","UCB",0.820744804836918,7.3561381169373,NA,0.00702842620106983,0.00678563892174275,NA,NA,NA,0.00953139775893007,"BMT-UCB",74.5891861491019
"95",19,190.541121289817,"dNN","GM",0.796375754985006,NA,NA,NA,0.0662503133125703,NA,1,NA,0.25894453741934,"dNN-GM",74.5891861491019
"96",20,423.360082484926,"DF","UCB",0.547570747028634,NA,NA,0.418518049517368,0.0448108702729302,1.01259529522235,NA,NA,0.0964468144674248,"DF-UCB",77.0004423361931
"97",20,492.208002648704,"BMT","UCB",0.473995522587298,3.63981689616798,NA,0.145291926095692,0.0247893411198579,NA,NA,NA,0.0272625956020984,"BMT-UCB",77.0004423361931
"98",20,620.507419551956,"Sticky","GM",0.3368866836871,NA,NA,NA,0.412043009835404,NA,NA,NA,1.76493020977101,"Sticky-GM",77.0004423361931
"99",20,487.337946145434,"kNN","GM",0.479199971747385,NA,NA,NA,0.105696113807169,NA,NA,2,0.215730152058641,"kNN-GM",77.0004423361931
"100",20,490.77351051685,"dNN","GM",0.475528511242721,NA,NA,NA,0.107685603555086,NA,1,NA,0.22091505773816,"dNN-GM",77.0004423361931
"101",22,460.934223202424,"BMT","UCB",0.507416653340635,8.1900437501864,NA,0.08978638428452,0.00680242722727277,NA,NA,NA,0.00835415740391951,"BMT-UCB",73.2666231012626
"102",22,465.439904621221,"DF","UCB",0.502601598348987,NA,NA,0.183632148680122,0.0654133110613828,0.801762680236016,NA,NA,0.169640073396718,"DF-UCB",73.2666231012626
"103",22,601.537946135775,"Sticky","GM",0.357158657928434,NA,NA,NA,0.124256708440766,NA,NA,NA,0.519783216869542,"Sticky-GM",73.2666231012626
"104",22,473.379365661991,"kNN","GM",0.494116990148357,NA,NA,NA,0.0809257847461725,NA,NA,4,0.187791960178779,"kNN-GM",73.2666231012626
"105",22,472.501003153217,"dNN","GM",0.495055663656143,NA,NA,NA,0.0814663745115874,NA,2,NA,0.18603695624538,"dNN-GM",73.2666231012626
"106",23,141.078035886815,"BMT","UCB",0.849235123887212,4.74829303437683,NA,0.0986949115688997,0.00708544716889372,NA,NA,NA,0.00967785478727798,"BMT-UCB",78.1222468297401
"107",23,149.971333264876,"DF","UCB",0.839731186091302,NA,NA,0.138852614933853,0.0348512473374254,0.374884740224875,NA,NA,0.114230347070529,"DF-UCB",78.1222468297401
"108",23,202.827370878535,"Sticky","GM",0.783245894723697,NA,NA,NA,0.880485999114999,NA,NA,NA,5.36131874979716,"Sticky-GM",78.1222468297401
"109",23,186.109035607031,"kNN","GM",0.801112160937117,NA,NA,NA,0.0500566427064768,NA,NA,14,0.205934889051471,"kNN-GM",78.1222468297401
"110",23,181.083311307055,"dNN","GM",0.806482966510784,NA,NA,NA,0.0553519970590113,NA,3,NA,0.203982151850337,"dNN-GM",78.1222468297401
"111",24,435.888484417805,"Sticky","GM",0.53418210751839,NA,NA,NA,0.767220093875177,NA,NA,NA,3.7747082374624,"Sticky-GM",71.9086794062494
"112",24,317.888359299168,"kNN","GM",0.660284474431675,NA,NA,NA,0.058614478864331,NA,NA,2,0.165693348115005,"kNN-GM",71.9086794062494
"113",24,335.041426159357,"DF","UCB",0.641953626657429,NA,NA,0.0314681524548499,0.0623612345940811,2.50882735861758,NA,NA,0.171716410992566,"DF-UCB",71.9086794062494
