"","participant","loo","nLL","tau","beta","lambda","errorVariance","alpha","d","k","gamma","omega","R2","acq","kernel","meanScore"
"3562",85,3,44.1272559925003,0.136754300898531,NA,NA,NA,NA,1,NA,NA,0.427242370317019,0.946948188842985,"GM","dNN",74.5192588160563
"3563",85,4,15.5450697608279,0.135276337032932,NA,NA,NA,NA,1,NA,NA,0.404155914950989,0.981311004121484,"GM","dNN",74.5192588160563
"3564",85,5,89.8158708729676,0.133586826867655,NA,NA,NA,NA,1,NA,NA,0.424827886494442,0.892019240415372,"GM","dNN",74.5192588160563
"3565",85,6,54.8939416693903,0.143912682983741,NA,NA,NA,NA,1,NA,NA,0.47199660391902,0.934003985482269,"GM","dNN",74.5192588160563
"3566",85,7,66.0502312623417,0.135384485181314,NA,NA,NA,NA,1,NA,NA,0.427957917116014,0.920591382423542,"GM","dNN",74.5192588160563
"3567",85,8,47.7219908622413,0.14251788329205,NA,NA,NA,NA,1,NA,NA,0.456088592933967,0.942626433701413,"GM","dNN",74.5192588160563
"3568",85,9,53.6819206532011,0.134402073525366,NA,NA,NA,NA,1,NA,NA,0.418301207202506,0.935461132740193,"GM","dNN",74.5192588160563
"3569",85,1,38.8197756067109,0.137063777446709,NA,NA,NA,NA,NA,4,NA,0.391659733490814,0.953329085203147,"GM","kNN",74.5192588160563
"3570",85,2,53.0540696378436,0.129998102786986,NA,NA,NA,NA,NA,1,NA,0.402142141144796,0.936215964028754,"GM","kNN",74.5192588160563
"3571",85,3,43.8301060405184,0.140470188907536,NA,NA,NA,NA,NA,4,NA,0.454178223986824,0.947305436144756,"GM","kNN",74.5192588160563
"3572",85,4,18.7641745621035,0.136295751958296,NA,NA,NA,NA,NA,4,NA,0.415088380565471,0.977440848677399,"GM","kNN",74.5192588160563
"3573",85,5,90.4551853417688,0.134440303034836,NA,NA,NA,NA,NA,4,NA,0.438616136507736,0.891250627237282,"GM","kNN",74.5192588160563
"3574",85,6,53.0638494324437,0.151284604138833,NA,NA,NA,NA,NA,4,NA,0.513024309260514,0.936204206311112,"GM","kNN",74.5192588160563
"3575",85,7,66.987118922441,0.136616116074727,NA,NA,NA,NA,NA,4,NA,0.445698972770183,0.919465013105963,"GM","kNN",74.5192588160563
"3576",85,8,48.6820955606177,0.144453900849492,NA,NA,NA,NA,NA,4,NA,0.475972479253204,0.941472151795512,"GM","kNN",74.5192588160563
"3577",85,9,53.6841376868268,0.134433419895374,NA,NA,NA,NA,NA,1,NA,0.41882171370731,0.935458467320679,"GM","kNN",74.5192588160563
"3578",85,2,48.3336580816641,0.0870360434422932,0.326612476359483,NA,NA,0.508870029780671,NA,NA,NA,0.374972986544891,0.941891059314634,"UCB","DF",74.5192588160563
